Title,Name,Developer Email,Developer Website,App Size,App version,Last Release date,App Vintage,Number of Updates
PNB UPI,PNB,pnbmobilebanking@gmail.com,,5.196449279785156,1.1.3,2017-01-04 00:00:00 +0000,21,4
UCO UPI,UCO BANK,uco.mbanking@ucobank.co.in,http://www.ucobank.com,6.363277435302734,1.0.0,2016-08-25 00:00:00 +0000,153,1
SIB M-Pay (UPI Pay),PayMate India,contact@paymate.co.in,http://www.paymate.co.in,3.576205253601074,4.2.0,2017-01-06 00:00:00 +0000,19,6
Lotza-UPI,Federal Bank,mobilesupport@federalbank.co.in,http://www.federalbank.co.in,11.324861526489258,1.3,2016-12-09 00:00:00 +0000,47,5
Baroda MPay,Bank of Baroda,upi.bcc@bankofbaroda.com,http://www.bankofbaroda.com,6.262870788574219,1.0.1,2016-12-25 00:00:00 +0000,31,2
HDFC Bank MobileBanking,HDFC Bank,pranavh.patel@hdfcbank.com,http://www.hdfcbank.com,12.631264686584473,5.4,2017-01-16 00:00:00 +0000,9,24
VIJAYA UPI,Vijaya Bank,fssnetmpay@gmail.com,,5.819634437561035,1.0.41,2016-11-22 00:00:00 +0000,64,2
DCB Bank UPI App,DCB Bank,dcbbank.india@gmail.com,http://www.dcbbank.com,4.389598846435547,1.0,2016-08-25 00:00:00 +0000,153,1
SBI Pay,State Bank of India,sbi.mobility@gmail.com,http://www.sbi.co.in,2.430954933166504,1.0,2016-11-19 00:00:00 +0000,67,1
"Banking, Recharge & Bill Pay",Chillr,support@chillr.in,https://www.chillr.in,8.544282913208008,2.02P,2016-11-24 00:00:00 +0000,62,36
Maha UPI,Bank of Maharashtra,mahaconnect@mahabank.co.in,http://www.bankofmaharashtra.in/,4.471121788024902,1.0.2,2016-12-22 00:00:00 +0000,34,2
"UPI App- Pay,Split & Earn",Splitkart E Services Pvt. Ltd.,contact@splitkart.com,http://splitkart.com/,7.549404144287109,2.0.7,2016-12-07 00:00:00 +0000,49,3
"Nupay-""THE"" UPI app to use",Nupay Business Solutions,care@nupay.co.in,http://www.nupay.co.in,6.459120750427246,1.2.1,2016-09-15 00:00:00 +0000,132,1
RBLPay,RBL Bank Ltd.,isd@rblbank.com,http://www.rblbank.com,8.102083206176758,1.1,2016-12-09 00:00:00 +0000,47,1
PhonePe - India's Payment App,FXMart Pvt Ltd,app-help@phonepe.com,http://www.phonepe.com,6.2210540771484375,3.0.1,2017-01-19 00:00:00 +0000,6,10
Canara Bank UPI- eMpower,CANARA BANK,canarambanking@gmail.com,http://www.canarabank.com,9.614245414733887,1.3,2016-12-01 00:00:00 +0000,55,3
Jugnoo Pay - UPI based,Jugnoo,support@jugnoo.in,https://www.jugnoo.in,5.951895713806152,1.5.2,2016-12-01 00:00:00 +0000,55,1
BHIM,National Payments Corporation of India (NPCI),upi.developers@npci.org.in,http://www.npci.org.in/UPI_Product.aspx,2.4708194732666016,1.1,2017-01-04 00:00:00 +0000,21,2
OBC UPI PSP,Oriental Bank of Commerce,hodit_upiwaf@obc.co.in,http://www.obcindia.co.in,2.496377944946289,1.4,2017-01-04 00:00:00 +0000,21,4
Andhra Bank ONE – UPI App,ANDHRA BANK,cbs-ebanking@andhrabank.co.in,http://www.andhrabank.in,7.005880355834961,1.0,2016-08-26 00:00:00 +0000,152,1
Kaypay,Kotak Mahindra Bank Ltd.,kotakbanksocialmedia@gmail.com,http://www.kotak.com,14.054057121276855,2.0,2016-11-30 00:00:00 +0000,56,1
IndusPay UPI App,IndusInd Bank Ltd.,reachus@indusind.com,http://www.indusind.com,4.503321647644043,1.0,2016-12-06 00:00:00 +0000,50,1
"Pockets-UPI,Wallet,QR Payments",ICICI Bank Ltd.,pockets@icicibank.com,http://www.icicibank.com/pockets,14.736563682556152,4.9,2017-01-14 00:00:00 +0000,11,21
CSB-UPI,The Catholic Syrian Bank Ltd,cbs@csb.co.in,http://www.csb.co.in/,7.618049621582031,1.0.1,2016-09-01 00:00:00 +0000,146,1
TranZapp - UPI,TJSB Sahakari Bank Ltd,mobile@tjsb.co.in,https://www.tjsbbank.co.in,4.476443290710449,1.0,2016-08-25 00:00:00 +0000,153,1
IDFC Bank UPI App,IDFC Bank Limited,apps@idfcbank.com,http://www.idfcbank.com,11.25219440460205,1.0.4,2016-12-07 00:00:00 +0000,49,1
KBL SMARTz (UPI),KARNATAKA BANK,karnatakabank.mobileapp@gmail.com,https://www.karnatakabank.com/ktk/kblupi.jsp,8.083246231079102,1.0.5,2016-12-17 00:00:00 +0000,39,4
Cent UPI,CENTRAL BANK OF INDIA,centmobile2013@gmail.com,https://centralbankmobile.in,5.530047416687012,1.0.0,2016-12-20 00:00:00 +0000,36,1
DENA BANK E-UPI,Dena Bank,denamconnect@denabank.co.in,http://www.denabank.com,2.939361572265625,1.0.0,2017-01-04 00:00:00 +0000,21,1
UPI Bank Transfer with Friends,MyPoolin,hello@mypoolin.com,https://mypoolin.com,8.317444801330566,1.86.1.1-beta,2016-12-15 00:00:00 +0000,41,5
Allahabad Bank UPI,Allahabad Bank,customercare@allahabadbank.in,https://www.allahabadbank.in,6.95472526550293,1.0.4,2016-12-13 00:00:00 +0000,43,2
UPI :: United UPI,United Bank of India,mbankadmin@unitedbank.co.in,,5.107207298278809,1.0.44,2017-01-03 00:00:00 +0000,22,3
Union Bank UPI App,Union Bank of India,mbteam@unionbankofindia.com,http://www.unionbankofindia.co.in/UPI_App.aspx,4.603937149047852,1.0.42,2016-12-22 00:00:00 +0000,34,2
