title,count,permission
PNB UPI,17,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_INTERNAL_STORAGE,com.fss.pnbpsp.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES"
UCO UPI,22,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_CORSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.NETWORK,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES,com.lcode.ucoupi.permission.C2D_MESSAGE"
SIB M-Pay (UPI Pay),16,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE"
Lotza-UPI,15,"android.permission.ACCESS_CORSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CAMERA,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_INTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.upi.federalbank.org.lotza.permission.C2D_MESSAGE"
Baroda MPay,24,"android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.CAMERA,android.permission.CHANGE_NETWORK_STATE,android.permission.CLEAR_APP_CACHE,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MANAGE_ACCOUNTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_OWNER_DATA,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SMS,com.android.launcher.permission.INSTALL_SHORTCUT,com.android.launcher.permission.UNINSTALL_SHORTCUT,com.bankofbaroda.upi.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE"
HDFC Bank MobileBanking,27,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.AUTHENTICATE_ACCOUNTS,android.permission.BLUETOOTH,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.MODIFY_AUDIO_SETTINGS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_SMS,android.permission.READ_SYNC_STATS,android.permission.RECEIVE_BOOT_COMPLETED,android.permission.RECEIVE_SMS,android.permission.RECORD_AUDIO,android.permission.SEND_SMS,android.permission.SYSTEM_ALERT_WINDOW,android.permission.VIBRATE,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SMS,android.permission.WRITE_SYNC_SETTINGS,com.google.android.c2dm.permission.RECEIVE,com.snapwork.hdfc.permission.C2D_MESSAGE"
VIJAYA UPI,17,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_INTERNAL_STORAGE,com.fss.vijayapsp.permission.C2D_MESSAGE,com.google.android.c2dm.permission.RECEIVE,com.google.android.providers.gsf.permission.READ_GSERVICES"
DCB Bank UPI App,12,"android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.INTERNET,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,com.google.android.c2dm.permission.RECEIVE,com.olive.dcb.upi.permission.C2D_MESSAGE,com.olive.upi.permission.C2D_MESSAGE"
SBI Pay,9,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.INTERNET,android.permission.READ_PHONE_STATE,android.permission.SEND_SMS,android.permission.WAKE_LOCK,com.google.android.c2dm.permission.RECEIVE"
"Banking, Recharge & Bill Pay",29,"android.permission.ACCESS_COARSE_LOCATION,android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,android.permission.BLUETOOTH,android.permission.CALL_PHONE,android.permission.CAMERA,android.permission.GET_ACCOUNTS,android.permission.GET_TASKS,android.permission.INTERNET,android.permission.KILL_BACKGROUND_PROCESSES,android.permission.PROCESS_OUTGOING_CALLS,android.permission.READ_CALL_LOG,android.permission.READ_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,android.permission.READ_PHONE_STATE,android.permission.READ_PROFILE,android.permission.READ_SMS,android.permission.RECEIVE_SMS,android.permission.SEND_SMS,android.permission.USE_CREDENTIALS,android.permission.WAKE_LOCK,android.permission.WRITE_CALL_LOG,android.permission.WRITE_EXTERNAL_STORAGE,android.permission.WRITE_SETTINGS,com.android.alarm.permission.SET_ALARM,com.google.android.c2dm.permission.RECEIVE,in.chillr.permission.C2D_MESSAGE,in.mobme.chillr.permission.C2D_MESSAGE"
