name,title,average,count,star_count_1,star_count_2,star_count_3,star_count_4,star_count_5
State Bank of India,SBI Pay,2.879687547683716,640,271,42,41,65,221
The Catholic Syrian Bank Ltd,CSB-UPI,3.6086957454681396,46,11,4,3,2,26
ICICI Bank Ltd.,iMobile by ICICI Bank,4.337640285491943,301365,18403,6480,15986,74588,185908
TJSB Sahakari Bank Ltd,TranZapp - UPI,3.776315689086914,76,14,4,8,9,41
Bank of Maharashtra,Maha UPI,4.188622951507568,668,81,19,30,101,437
Protinus Infotech Private Limited,UPI Money Transfer from Banks,3.9410367012023926,2103,313,110,178,289,1213
Allahabad Bank,Allahabad Bank UPI,4.425076484680176,654,50,10,32,82,480
CENTRAL BANK OF INDIA,Cent UPI,4.243243217468262,111,12,2,6,18,73
HDFC Bank,HDFC Bank MobileBanking,4.244097709655762,143717,8267,4809,11855,37431,81355
IDFC Bank Limited,IDFC Bank UPI App,4.307692527770996,65,7,0,3,11,44
Oriental Bank of Commerce,OBC UPI PSP,3.429708242416382,377,112,17,23,47,178
IndusInd Bank Ltd.,IndusPay UPI App,3.5714285373687744,91,24,6,3,10,48
Union Bank of India,Union Bank UPI App,3.714664936065674,1507,317,61,142,202,785
Axis Bank Ltd.,Axis Pay UPI App,3.8991317749023438,9329,1387,508,887,1424,5123
Nupay Business Solutions,"Nupay-""THE"" UPI app to use",4.3913044929504395,46,6,0,1,2,37
RBL Bank Ltd.,RBLPay,3.875,8,1,0,2,1,4
Cheripo E-Ventures LLP,UPI Social Payments & Split,3.614436626434326,568,135,19,55,80,279
MyPoolin,UPI Bank Transfer with Friends,4.311264991760254,1012,113,24,44,85,746
Bank of Baroda,Baroda MPay,4.723404407501221,188,7,1,4,13,163
Federal Bank,Lotza-UPI,4.174258708953857,1383,148,61,100,167,907
Vijaya Bank,VIJAYA UPI,3.7880659103393555,486,95,22,37,69,263
CANARA BANK,Canara Bank UPI- eMpower,3.9371633529663086,2785,467,126,184,346,1662
Kotak Mahindra Bank Ltd.,Kaypay,3.4397759437561035,357,98,29,15,48,167
FXMart Pvt Ltd,PhonePe - India's Payment App,4.2474236488342285,55407,4839,1729,3837,9481,35521
PayMate India,SIB M-Pay (UPI Pay),4.102458953857422,4392,483,180,339,792,2598
PNB,PNB UPI,3.803546190261841,3553,667,167,299,484,1936
DCB Bank,DCB Bank UPI App,4.199999809265137,120,13,1,10,21,75
ANDHRA BANK,Andhra Bank ONE – UPI App,3.6193671226501465,1043,240,60,74,152,517
UCO BANK,UCO UPI,4.016417980194092,670,98,26,47,95,404
Jugnoo,Jugnoo Pay - UPI based,4.315789699554443,19,2,1,0,2,14
KARNATAKA BANK,KBL SMARTz (UPI),3.9156627655029297,1079,193,39,67,147,633
ICICI Bank Ltd.,"Pockets-UPI,Wallet,QR Payments",4.140573501586914,100033,9962,3230,7632,21169,58040
United Bank of India,UPI :: United UPI ::,3.896745204925537,1782,264,98,177,262,981
